2022-05-19 20:05:662 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (b0fb35ab5da4c45296fe58300c458ed8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:880 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (b0fb35ab5da4c45296fe58300c458ed8)] -> link text: Search Cars]
2022-05-19 20:05:759 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:648 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (cc3ce6e0aa2b5bcadfa80e1e8e9c18f0)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:437 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (cc3ce6e0aa2b5bcadfa80e1e8e9c18f0)] -> link text: Search Cars]
2022-05-19 20:05:264 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:589 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:428 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (5664ad09cdf0be74cb1860fd901280cf)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:578 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (5664ad09cdf0be74cb1860fd901280cf)] -> link text: Search Cars]
2022-05-19 20:05:719 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:605 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:120 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:330 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:205 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:547 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (9b5b1cb42f07eb87b56ccc9a00360c7f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:742 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (9b5b1cb42f07eb87b56ccc9a00360c7f)] -> link text: Search Cars]
2022-05-19 20:05:564 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:445 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (3345b03d4b586948997ea9d05d2c4697)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:307 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (3345b03d4b586948997ea9d05d2c4697)] -> link text: Search Cars]
2022-05-19 20:05:85 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:133 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:587 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:178 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:649 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:345 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (beff030bffa3b7824be5e2438f439329)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:699 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (beff030bffa3b7824be5e2438f439329)] -> link text: Search Cars]
2022-05-19 20:05:407 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:839 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (d160b8d5ba857d34fb4e766cf2bbf676)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:983 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (d160b8d5ba857d34fb4e766cf2bbf676)] -> link text: Search Cars]
2022-05-19 20:05:866 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:779 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (3cceccf2c6e0d24000fa0ca51c174ecb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:961 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (3cceccf2c6e0d24000fa0ca51c174ecb)] -> link text: Search Cars]
2022-05-19 20:05:941 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:166 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (abd6908ecbcbc85e032b6653633725bd)] -> xpath: //a[contains(text(),'buy + sell')]]
